,Request Date (Local),Unnamed: 0,Employee ID,Distance (mi),Duration (min),Fare in KES,Service and Technology Fee,Total Charge in KES
158,2017-09-13,3206,42.0,18.25,54,1450.0,72.5,1522.5
159,2017-09-14,5649,70.0,30.48,113,2326.0,116.3,2442.3
160,2017-09-15,4881,32.0,27.1,130,2056.0,102.8,2158.8
161,2017-09-18,3274,45.0,16.75,73,1438.0,71.9,1509.9
162,2017-09-19,821,18.0,3.72,24,300.0,15.0,315.0
163,2017-09-20,3294,62.0,17.18,73,1400.0,70.0,1470.0
164,2017-09-21,5803,92.0,25.61,110,2296.0,114.8,2410.8
165,2017-09-22,5013,57.0,50.26,200,3729.0,186.45,3915.45
166,2017-09-25,3362,37.0,19.25,70,1571.0,78.55,1649.55
167,2017-09-26,843,13.0,8.42,21,686.0,34.3,720.3
168,2017-09-27,2535,35.0,17.0,48,1000.0,50.0,1050.0
169,2017-09-28,2544,37.0,8.73,39,1000.0,50.0,1050.0
170,2017-09-29,4260,63.0,23.92,94,2157.0,107.85,2264.85
171,2017-10-02,2568,59.0,16.4,56,1050.0,52.5,1102.5
172,2017-10-03,4300,65.0,24.54,116,1950.0,97.5,2047.5
173,2017-10-04,3458,51.0,12.19,83,1400.0,70.0,1470.0
174,2017-10-06,2604,44.0,10.42,55,950.0,47.5,997.5
175,2017-10-09,6111,75.0,12.739999999999998,70,1671.0,83.55,1754.55
176,2017-10-10,4395,77.0,11.08,53,1250.0,62.5,1312.5
177,2017-10-11,11544,163.0,45.58,248,6385.0,319.25,6704.25
178,2017-10-12,895,2.0,1.39,5,200.0,10.0,210.0
179,2017-10-15,896,5.0,18.18,64,1416.0,70.8,1486.8
180,2017-10-17,7204,120.0,27.43,142,2728.0,136.4,2864.4
181,2017-10-18,8181,99.0,47.17,150,3950.0,197.5,4147.5
182,2017-10-19,9185,112.0,67.67,452,5634.0,281.7,5915.7
183,2017-10-23,8352,146.0,33.85,135,2874.0,143.7,3017.7
184,2017-10-24,5613,72.0,23.16,99,1930.0,96.5,2026.5
185,2017-10-30,6594,118.0,39.65,145,3121.0,156.05,3277.05
186,2017-11-01,9505,125.0,32.75,138,3428.0,171.4,3599.4
187,2017-11-02,4790,53.0,30.39,89,2186.0,109.3,2295.3
188,2017-11-03,7716,74.0,27.75,104,2648.0,132.4,2780.4
189,2017-11-06,5829,91.0,38.19,149,2248.0,112.4,2360.4
190,2017-11-07,6846,84.0,36.230000000000004,121,2144.0,107.2,2251.2
191,2017-11-08,4920,48.0,16.42,80,1302.0,65.1,1367.1
192,2017-11-09,987,24.0,5.59,15,319.0,15.95,334.95
193,2017-11-10,7932,102.0,28.9,181,2950.0,147.5,3097.5
194,2017-11-13,7996,98.0,28.61,126,2139.0,106.95,2245.95
195,2017-11-14,2009,21.0,6.359999999999999,39,500.0,25.0,525.0
196,2017-11-15,8076,116.0,24.23,151,2192.0,109.6,2301.6
197,2017-11-16,8140,101.0,32.21,170,2361.0,118.05,2479.05
198,2017-11-17,7175,66.0,38.47,136,2408.0,120.4,2528.3999999999996
199,2017-11-21,3090,15.0,12.620000000000001,62,1006.0,50.3,1056.3
200,2017-11-22,12450,114.0,46.71,210,3583.0,179.15,3762.15
201,2017-11-23,6279,37.0,17.65,97,1530.0,76.5,1606.5
202,2017-11-24,4206,18.0,10.43,69,976.0,48.8,1024.8
203,2017-11-27,6339,62.0,15.45,109,2050.0,102.5,2152.5
204,2017-11-29,4246,51.0,19.32,130,2203.0,110.15,2313.15
205,2017-11-30,3195,40.0,8.78,71,1228.0,61.4,1289.4
206,2017-12-01,3204,23.0,6.62,35,1255.0,62.75,1317.75
207,2017-12-04,2141,22.0,5.96,28,566.0,28.3,594.3
208,2017-12-05,5370,51.0,26.2,92,1793.0,89.65,1882.65
209,2017-12-06,5395,80.0,18.73,110,1909.0,95.45,2004.45
210,2017-12-08,8684,86.0,43.160000000000004,210,4012.0,200.6,4212.6
211,2017-12-11,14248,166.0,82.49,314,6074.0,303.7,6377.7
212,2017-12-13,9963,143.0,34.78,158,3137.0,156.85,3293.85
213,2017-12-14,4454,50.0,13.42,63,1205.0,60.25,1265.25
214,2017-12-15,4470,61.0,10.6,62,1099.0,54.95,1153.95
215,2017-12-18,11245,115.0,28.38,154,2988.0,149.4,3137.4
216,2017-12-19,10206,109.0,30.470000000000002,148,3035.0,151.75,3186.75
217,2017-12-20,10287,78.0,44.55,175,3450.0,172.5,3622.5
218,2017-12-21,10368,92.0,155.83,378,9189.0,459.45,9648.45
219,2017-12-27,2315,14.0,7.2,23,650.0,32.5,682.5
220,2018-02-01,6,43.0,21.37,75,1598.0,79.9,1677.9
221,2018-05-01,4,15.0,6.14,18,420.0,21.0,441.0
222,2018-08-01,5,21.0,13.53,24,800.0,40.0,840.0
223,2018-09-01,63,87.0,23.17,189,2422.0,121.1,2543.1
224,2018-10-01,58,63.0,21.62,68,1498.0,74.9,1572.9
